CountyFipsCode	BuildingCode	StructureCode	StructureNbr	LandSqft	LivingSqft	GarageSqft	BasementSqft	BasementFinishedSqft	AtticSqft	Bedrooms	TotalRooms	TotalBaths	FirePlaces	YearBuilt	EffectiveYearBuilt	Condition	ConditionCode	Quality	QualityCode	GarageCarportCode	GarageNoOfCars	HasPatioPorch	PatioPorchCode	HasPool	PoolCode	Zonning	LandValue	ImprovementValue	TotalValue	AssessedYear	PropTaxAmount	City	State	Zip	Latitude	Longitude	BuildingShapeCode	ConstructionCode	Stories	UnitsInBuilding	FoundationCode	ExteriorCode	RoofCode	CoolingCode	HeatingCode	HeatingSourceCode	IsWaterfront	View	ViewScore	LastSaleDate	LastSalePrice	DocType	DeedType	TransType	ArmsLengthFlag	DistressCode	StatusDate	SellDate	SellPrice	OwnerOccupied	DistrsdProp	IsFixer
53033	1		1	286423	777	0	0	0	0	1	0	1	1	1980	0	AVE	3	QAV	6	G 1	0	False		False		R20	74299	176699	251000	2016	2201		WA	98004	47.64	-122.201		0	3	125							False	2	2	2005-11-18 00:00:00	195000	W		R	True		2012-12-05 17:13:00	2005-11-18	195000	True	0	0.0
53033	9		1	834977	1572	0	0	0	0	3	0	3	1	1995	0	FAI	2	QAV	6	G 2	0	False		False		R12	75799	390199	466000	2016	4465		WA	98052	47.682	-122.129		0	2	204							False	15	3	1997-08-01 00:00:00	197500			R	True		2017-02-17 00:00:00	1997-08-01		False	0	0.0
53033	9		1	872942	1308	0	0	0	0	2	0	3	1	1995	0	FAI	2	QAV	6	G 2	0	False		False		R10	59500	280500	340000	2016	3363		WA	98006	47.543	-122.127		0	3	136							False	12	2	1997-10-28 00:00:00	170000			R	True		2017-02-17 00:00:00	1997-10-28		True	0	0.0
53033	1		1	267617	1518	0	0	0	0	2	0	2	1	1981	0	FAI	2	QGO	8	G 1	0	False		False		R20	102299	293699	396000	2016	3465		WA	98008	47.579	-122.125		0	3	68							False	15	3	1998-09-11 00:00:00	179000			R	True		2017-02-17 00:00:00	1998-09-11		True	0	0.0
53033	1		1	11164	620	0	0	0	0	1	0	1	1	1968	0	FAI	2	QAV	6		0	False		False		LR3	48799	161199	210000	2016	2040		WA	98144	47.588	-122.316		0	4	16							False	12	3	2008-12-11 00:00:00	220000	W		R	True		2012-12-05 17:14:00	2008-12-11	220000	True	0	0.0
53033	1		1	296251	920	0	0	0	0	2	0	2	1	1991	0	FAI	2	QAV	6		0	False		False		R24	51399	135599	187000	2016	2058		WA	98059	47.536	-122.163		0	3	150							False	12	2	2000-09-18 00:00:00	133950			R	True		2017-02-17 00:00:00	2000-09-18	133950	True	0	0.0
53033	1		1	723524	1105	0	0	0	0	3	0	2	1	1990	0	FAI	2	QAV	6		0	False		False		RM3600	15300	128700	144000	2016	2035		WA	98003	47.345	-122.309		0	3	84							False	12	2	2007-06-01 00:00:00	210790	W		S	True		2007-03-21 21:57:00	2007-06-01	210790	True	0	0.0
53033	1		1	25151	984	0	0	0	0	2	0	2	1	1992	0	FAI	2	QAV	6	GB1	0	False		False		SM65	87099	304899	392000	2016	3682		WA	98109	47.632	-122.343		0	8	56							False	15	3	1999-04-19 00:00:00	189950			R	True		2017-02-17 00:00:00	1999-04-19		True	0	0.0
53033	1		1	12979	1835	0	0	0	0	2	0	3	1	1980	0	FAI	2	QAV	6	GB2	0	False		False		DMRR 24065	126099	854899	981000	2016	9102		WA	98121	47.616	-122.349		1	18	93							False	3	3	2001-03-08 00:00:00	670000			R	True		2012-12-05 17:09:00	2001-03-08	670000	True	0	0.0
53033	9		1	52947	1094	0	0	0	0	2	0	3	1	2006	0	FAI	2	QAV	6	GB2	0	False		False		LR3	51399	195599	247000	2016	2429		WA	98118	47.537	-122.27		0	2	41							False	2	2	2006-09-13 00:00:00	304003	W		S	True		2017-02-17 00:00:00	2006-09-13	304003	True	0	0.0
53033	9		1	293811	1538	0	0	0	0	3	0	3	1	1987	0	FAI	2	QGO	8	G 2	0	False		False		R10	78299	328699	407000	2016	3561		WA	98008	47.626	-122.129		0	2	60							False	12	2	1998-02-27 00:00:00	200000			R	True		2017-02-17 00:00:00	1998-02-27		True	0	0.0
53033	1		1	48498	1077	0	0	0	0	2	0	2	1	1980	0	FAI	2	QGO	8	G 1	0	False		False		TC	91699	226299	318000	2016	2599		WA	98040	47.583	-122.232		0	5	44							False	12	2	2004-09-03 00:00:00	237000	W		R	True		2012-12-05 17:14:00	2004-09-03	237000	True	0	0.0
53033	1		1	3999	1310	320	748	213	0	2	0	2	1	2006	0	AVE	3	QGO	8	GA0	0	False		False		LR2	101999	246999	349000	2016	3380		WA	98125	47.716	-122.293		0	3	0					9	2	False		0	2006-06-12 00:00:00	0				True		2017-02-17 00:00:00	2006-06-12		False	0	0.0
53033	1		1	3999	1488	664	736	72	0	3	0	3	1	2006	0	AVE	3	QGO	8	GB0	0	True	2	False		RA3600	61999	199999	262000	2016	3857		WA	98198	47.387	-122.308		0	2	0					2	2	False		1	2006-05-16 00:00:00	297000	W		S	True		2012-12-06 11:53:00	2006-05-16	297000	True	0	0.0
53033	1		1	15319	742	0	0	0	0	2	0	1	1	1993	0	FAI	2	QAV	6		0	False		False		LR2	47099	146899	194000	2016	1924		WA	98106	47.526	-122.361		0	3	16							False	12	2	2007-07-25 00:00:00	241950	W		S	True		2012-12-05 17:17:00	2007-07-25	241950	True	0	0.0
53033	8		1	54778	236	0	0	0	0	0	0	0	1	1979	0	AVE	2	000	0	GB1	0	False		False		R24	499	2499	3000	2016	46		WA	98133	47.755	-122.34		0	4	26							False	12	2	2000-12-13 00:00:00	161950				True		2017-02-17 00:00:00	2000-12-13		True	0	0.0
53033	1		1	3999	1140	310	560	250	0	3	0	4	0	2006	0	AVE	3	QAV	6	GB0	0	False		False		LR2	76999	226999	304000	2016	2964		WA	98118	47.532	-122.282		0	2	0					9	4	False		0	2006-07-27 00:00:00	335600	W		R	True		2017-02-17 00:00:00	2006-07-27	335600	True	0	0.0
53033	1		1	9525	913	0	0	0	0	1	0	1	1	2008	0	FAI	2	QAV	6	GB1	0	False		False		DOC1 U450U	55699	448299	504000	2016	4682		WA	98164	47.606	-122.331		3	1	127							False	2	2	2007-11-16 00:00:00	580000	W		S	True		2017-02-17 00:00:00	2007-11-16	580000	True	0	0.0
53033	9		1	60154	1464	0	0	0	0	2	0	3	1	1978	0	FAI	2	QGO	8	GB2	0	False		False		PLA 6K	189399	407599	597000	2016	5735		WA	98033	47.672	-122.202		0	3	22							False	12	2	1989-03-06 00:00:00	117000				True		2017-02-17 00:00:00	1989-03-06		True	0	0.0
